z_over_lambda,abs_i_delta_gap,abs_i_mag_frill,re_i_delta_gap,im_i_delta_gap,re_i_mag_frill,im_i_mag_frill
-2.3700000000e-01,1.4164941831e-03,1.4225802678e-03,1.2497789195e-03,-6.6671464901e-04,1.2568692055e-03,-6.6634406918e-04
-2.3100000000e-01,1.8884394520e-03,1.8965723479e-03,1.6696952742e-03,-8.8222517255e-04,1.6791675397e-03,-8.8169328260e-04
-2.2500000000e-01,2.4799913422e-03,2.4906917786e-03,2.1963466595e-03,-1.1517023959e-03,2.2088063506e-03,-1.1509648308e-03
-2.1900000000e-01,3.0025022985e-03,3.0154822635e-03,2.6635915857e-03,-1.3857488651e-03,2.6787015685e-03,-1.3848072747e-03
-2.1300000000e-01,3.5068077963e-03,3.5219969880e-03,3.1161248461e-03,-1.6085604942e-03,3.1338015715e-03,-1.6074048942e-03
-2.0700000000e-01,3.9896079681e-03,4.0069218740e-03,3.5509995956e-03,-1.8186185997e-03,3.5711428053e-03,-1.8172402066e-03
-2.0100000000e-01,4.4553742886e-03,4.4747475315e-03,3.9721177425e-03,-2.0180784651e-03,3.9946493244e-03,-2.0164677647e-03
-1.9500000000e-01,4.9055074088e-03,4.9268806162e-03,4.3806820591e-03,-2.2076294152e-03,4.4055307328e-03,-2.2057768627e-03
-1.8900000000e-01,5.3411404858e-03,5.3644591642e-03,4.7776623769e-03,-2.3878282813e-03,4.8047623718e-03,-2.3857243500e-03
-1.8300000000e-01,5.7629199794e-03,5.7881324461e-03,5.1636014888e-03,-2.5589971383e-03,5.1928901212e-03,-2.5566324341e-03
-1.7700000000e-01,6.1712381098e-03,6.1982944182e-03,5.5388191177e-03,-2.7213347073e-03,5.5702355244e-03,-2.7187000382e-03
-1.7100000000e-01,6.5663004186e-03,6.5951515732e-03,5.9034709407e-03,-2.8749490499e-03,5.9369551482e-03,-2.8720354874e-03
-1.6500000000e-01,6.9481845022e-03,6.9787819259e-03,6.2576000006e-03,-3.0198857774e-03,6.2930922862e-03,-3.0166847111e-03
-1.5900000000e-01,7.3168762114e-03,7.3491713702e-03,6.6011683860e-03,-3.1561453440e-03,6.6386088179e-03,-3.1526485361e-03
-1.5300000000e-01,7.6722953956e-03,7.7062395363e-03,6.9340797843e-03,-3.2836952023e-03,6.9734078900e-03,-3.2798948444e-03
-1.4700000000e-01,8.0143141617e-03,8.0498581323e-03,7.2561955073e-03,-3.4024782502e-03,7.2973500332e-03,-3.3983670259e-03
-1.4100000000e-01,8.3427702757e-03,8.3798644087e-03,7.5673462917e-03,-3.5124188211e-03,7.6102650294e-03,-3.5079899785e-03
-1.3500000000e-01,8.6574771824e-03,8.6960712290e-03,7.8673411719e-03,-3.6134269121e-03,7.9119608349e-03,-3.6086743504e-03
-1.2900000000e-01,8.9582316373e-03,8.9982747438e-03,8.1559742974e-03,-3.7054011022e-03,8.2022304363e-03,-3.7003194774e-03
-1.2300000000e-01,9.2448195941e-03,9.2862603165e-03,8.4330302674e-03,-3.7882304358e-03,8.4808572157e-03,-3.7828152947e-03
-1.1700000000e-01,9.5170207879e-03,9.5598071445e-03,8.6982883777e-03,-3.8617954343e-03,8.7476192213e-03,-3.8560433866e-03
-1.1100000000e-01,9.7746123102e-03,9.8186918712e-03,8.9515260513e-03,-3.9259683096e-03,9.0022926179e-03,-3.9198772535e-03
-1.0500000000e-01,1.0017371371e-02,1.0062691394e-02,9.1925216492e-03,-3.9806123803e-03,9.2446545134e-03,-3.9741818056e-03
-9.9000000000e-02,1.0245077381e-02,1.0291584998e-02,9.4210567996e-03,-4.0255806190e-03,9.4744853012e-03,-4.0188120197e-03
-9.3000000000e-02,1.0457513411e-02,1.0505155887e-02,9.6369183501e-03,-4.0607131702e-03,9.6915706233e-03,-4.0536106206e-03
-8.7000000000e-02,1.0654467059e-02,1.0703192145e-02,9.8399000181e-03,-4.0858335685e-03,9.8957030306e-03,-4.0784045429e-03
-8.1000000000e-02,1.0835730672e-02,1.0885487091e-02,1.0029803798e-02,-4.1007432215e-03,1.0086683397e-02,-4.0929997863e-03
-7.5000000000e-02,1.1001100798e-02,1.1051838947e-02,1.0206441166e-02,-4.1052134519e-03,1.0264322134e-02,-4.0971740559e-03
-6.9000000000e-02,1.1150376681e-02,1.1202049632e-02,1.0369634125e-02,-4.0989740478e-03,1.0428440235e-02,-4.0906662321e-03
-6.3000000000e-02,1.1283357266e-02,1.1335922370e-02,1.0519216097e-02,-4.0816962054e-03,1.0578870183e-02,-4.0731611344e-03
-5.7000000000e-02,1.1399836562e-02,1.1453257568e-02,1.0655032709e-02,-4.0529682481e-03,1.0715456729e-02,-4.0442670552e-03
-5.1000000000e-02,1.1499593408e-02,1.1553846040e-02,1.0776942465e-02,-4.0122511962e-03,1.0838057578e-02,-4.0034817659e-03
-4.5000000000e-02,1.1582386406e-02,1.1637457890e-02,1.0884817330e-02,-3.9588415663e-03,1.0946543970e-02,-3.9501393967e-03
-3.9000000000e-02,1.1647884239e-02,1.1703824055e-02,1.0978543233e-02,-3.8916315010e-03,1.1040801189e-02,-3.8833241733e-03
-3.3000000000e-02,1.1695841643e-02,1.1752604732e-02,1.1058020490e-02,-3.8095793180e-03,1.1120728987e-02,-3.8017239236e-03
-2.7000000000e-02,1.1724920734e-02,1.1783333594e-02,1.1123164171e-02,-3.7079623845e-03,1.1186241953e-02,-3.7033689465e-03
-2.1000000000e-02,1.1737820591e-02,1.1795316549e-02,1.1173904393e-02,-3.5944808846e-03,1.1237269810e-02,-3.5851443094e-03
-1.5000000000e-02,1.1714904909e-02,1.1787453864e-02,1.1210186561e-02,-3.4015752671e-03,1.1273757652e-02,-3.4418682441e-03
-9.0000000000e-03,1.1738478848e-02,1.1758008032e-02,1.1231971547e-02,-3.4109677255e-03,1.1295666132e-02,-3.2647633161e-03
-3.0000000000e-03,1.1436172942e-02,1.1704925500e-02,1.1239235826e-02,-2.1132036320e-03,1.1302971590e-02,-3.0410712237e-03
3.0000000000e-03,1.1738478848e-02,1.1758008032e-02,1.1231971547e-02,-3.4109677255e-03,1.1295666132e-02,-3.2647633161e-03
9.0000000000e-03,1.1714904909e-02,1.1787453864e-02,1.1210186561e-02,-3.4015752671e-03,1.1273757652e-02,-3.4418682441e-03
1.5000000000e-02,1.1737820591e-02,1.1795316549e-02,1.1173904393e-02,-3.5944808846e-03,1.1237269810e-02,-3.5851443094e-03
2.1000000000e-02,1.1724920734e-02,1.1783333594e-02,1.1123164171e-02,-3.7079623845e-03,1.1186241953e-02,-3.7033689465e-03
2.7000000000e-02,1.1695841643e-02,1.1752604732e-02,1.1058020490e-02,-3.8095793180e-03,1.1120728987e-02,-3.8017239236e-03
3.3000000000e-02,1.1647884239e-02,1.1703824055e-02,1.0978543233e-02,-3.8916315010e-03,1.1040801189e-02,-3.8833241733e-03
3.9000000000e-02,1.1582386406e-02,1.1637457890e-02,1.0884817330e-02,-3.9588415663e-03,1.0946543970e-02,-3.9501393967e-03
4.5000000000e-02,1.1499593408e-02,1.1553846040e-02,1.0776942465e-02,-4.0122511962e-03,1.0838057578e-02,-4.0034817659e-03
5.1000000000e-02,1.1399836562e-02,1.1453257568e-02,1.0655032709e-02,-4.0529682481e-03,1.0715456729e-02,-4.0442670552e-03
5.7000000000e-02,1.1283357266e-02,1.1335922370e-02,1.0519216097e-02,-4.0816962054e-03,1.0578870183e-02,-4.0731611344e-03
6.3000000000e-02,1.1150376681e-02,1.1202049632e-02,1.0369634125e-02,-4.0989740478e-03,1.0428440235e-02,-4.0906662321e-03
6.9000000000e-02,1.1001100798e-02,1.1051838947e-02,1.0206441166e-02,-4.1052134519e-03,1.0264322134e-02,-4.0971740559e-03
7.5000000000e-02,1.0835730672e-02,1.0885487091e-02,1.0029803798e-02,-4.1007432215e-03,1.0086683397e-02,-4.0929997863e-03
8.1000000000e-02,1.0654467059e-02,1.0703192145e-02,9.8399000181e-03,-4.0858335685e-03,9.8957030306e-03,-4.0784045429e-03
8.7000000000e-02,1.0457513411e-02,1.0505155887e-02,9.6369183501e-03,-4.0607131702e-03,9.6915706233e-03,-4.0536106206e-03
9.3000000000e-02,1.0245077381e-02,1.0291584998e-02,9.4210567996e-03,-4.0255806190e-03,9.4744853012e-03,-4.0188120197e-03
9.9000000000e-02,1.0017371371e-02,1.0062691394e-02,9.1925216492e-03,-3.9806123803e-03,9.2446545134e-03,-3.9741818056e-03
1.0500000000e-01,9.7746123102e-03,9.8186918712e-03,8.9515260513e-03,-3.9259683096e-03,9.0022926179e-03,-3.9198772535e-03
1.1100000000e-01,9.5170207879e-03,9.5598071445e-03,8.6982883777e-03,-3.8617954343e-03,8.7476192213e-03,-3.8560433866e-03
1.1700000000e-01,9.2448195941e-03,9.2862603165e-03,8.4330302674e-03,-3.7882304358e-03,8.4808572157e-03,-3.7828152947e-03
1.2300000000e-01,8.9582316373e-03,8.9982747438e-03,8.1559742974e-03,-3.7054011022e-03,8.2022304363e-03,-3.7003194774e-03
1.2900000000e-01,8.6574771824e-03,8.6960712290e-03,7.8673411719e-03,-3.6134269121e-03,7.9119608349e-03,-3.6086743504e-03
1.3500000000e-01,8.3427702757e-03,8.3798644087e-03,7.5673462917e-03,-3.5124188211e-03,7.6102650294e-03,-3.5079899785e-03
1.4100000000e-01,8.0143141617e-03,8.0498581323e-03,7.2561955073e-03,-3.4024782502e-03,7.2973500332e-03,-3.3983670259e-03
1.4700000000e-01,7.6722953956e-03,7.7062395363e-03,6.9340797843e-03,-3.2836952023e-03,6.9734078900e-03,-3.2798948444e-03
1.5300000000e-01,7.3168762114e-03,7.3491713702e-03,6.6011683860e-03,-3.1561453440e-03,6.6386088179e-03,-3.1526485361e-03
1.5900000000e-01,6.9481845022e-03,6.9787819259e-03,6.2576000006e-03,-3.0198857774e-03,6.2930922862e-03,-3.0166847111e-03
1.6500000000e-01,6.5663004186e-03,6.5951515732e-03,5.9034709407e-03,-2.8749490499e-03,5.9369551482e-03,-2.8720354874e-03
1.7100000000e-01,6.1712381098e-03,6.1982944182e-03,5.5388191177e-03,-2.7213347073e-03,5.5702355244e-03,-2.7187000382e-03
1.7700000000e-01,5.7629199794e-03,5.7881324461e-03,5.1636014888e-03,-2.5589971383e-03,5.1928901212e-03,-2.5566324341e-03
1.8300000000e-01,5.3411404858e-03,5.3644591642e-03,4.7776623769e-03,-2.3878282813e-03,4.8047623718e-03,-2.3857243500e-03
1.8900000000e-01,4.9055074088e-03,4.9268806162e-03,4.3806820591e-03,-2.2076294152e-03,4.4055307328e-03,-2.2057768627e-03
1.9500000000e-01,4.4553742886e-03,4.4747475315e-03,3.9721177425e-03,-2.0180784651e-03,3.9946493244e-03,-2.0164677647e-03
2.0100000000e-01,3.9896079681e-03,4.0069218740e-03,3.5509995956e-03,-1.8186185997e-03,3.5711428053e-03,-1.8172402066e-03
2.0700000000e-01,3.5068077963e-03,3.5219969880e-03,3.1161248461e-03,-1.6085604942e-03,3.1338015715e-03,-1.6074048942e-03
2.1300000000e-01,3.0025022985e-03,3.0154822635e-03,2.6635915857e-03,-1.3857488651e-03,2.6787015685e-03,-1.3848072747e-03
2.1900000000e-01,2.4799913422e-03,2.4906917786e-03,2.1963466595e-03,-1.1517023959e-03,2.2088063506e-03,-1.1509648308e-03
2.2500000000e-01,1.8884394520e-03,1.8965723479e-03,1.6696952742e-03,-8.8222517255e-04,1.6791675397e-03,-8.8169328260e-04
2.3100000000e-01,1.4164941831e-03,1.4225802678e-03,1.2497789195e-03,-6.6671464901e-04,1.2568692055e-03,-6.6634406918e-04
