t,abs_f,abs_f_sing,re_integrand_normalized
0.0000000000e+00,4.0017881021e-01,2.4980131740e-01,-0.0000000000e+00
1.0000000000e-02,3.9677763056e-01,2.4984459984e-01,-6.3531367911e-03
2.0000000000e-02,3.9368412545e-01,2.4997454152e-01,-1.2428142142e-02
3.0000000000e-02,3.9089094759e-01,2.5019142609e-01,-1.8253264577e-02
4.0000000000e-02,3.8839126744e-01,2.5049572799e-01,-2.3855446335e-02
5.0000000000e-02,3.8617875663e-01,2.5088811506e-01,-2.9260398263e-02
6.0000000000e-02,3.8424757378e-01,2.5136945225e-01,-3.4492669508e-02
7.0000000000e-02,3.8259235245e-01,2.5194080634e-01,-3.9575712357e-02
8.0000000000e-02,3.8120819126e-01,2.5260345197e-01,-4.4531942581e-02
9.0000000000e-02,3.8009064618e-01,2.5335887875e-01,-4.9382795582e-02
1.0000000000e-01,3.7923572496e-01,2.5420879977e-01,-5.4148778615e-02
1.1000000000e-01,3.7863988374e-01,2.5515516149e-01,-5.8849519342e-02
1.2000000000e-01,3.7830002584e-01,2.5620015507e-01,-6.3503810950e-02
1.3000000000e-01,3.7821350291e-01,2.5734622944e-01,-6.8129654031e-02
1.4000000000e-01,3.7837811841e-01,2.5859610602e-01,-7.2744295426e-02
1.5000000000e-01,3.7879213359e-01,2.5995279549e-01,-7.7364264195e-02
1.6000000000e-01,3.7945427625e-01,2.6141961664e-01,-8.2005404879e-02
1.7000000000e-01,3.8036375218e-01,2.6300021765e-01,-8.6682908199e-02
1.8000000000e-01,3.8152025989e-01,2.6469859995e-01,-9.1411339309e-02
1.9000000000e-01,3.8292400853e-01,2.6651914511e-01,-9.6204663755e-02
2.0000000000e-01,3.8457573965e-01,2.6846664491e-01,-1.0107627121e-01
2.1000000000e-01,3.8647675289e-01,2.7054633526e-01,-1.0603899714e-01
2.2000000000e-01,3.8862893631e-01,2.7276393417e-01,-1.1110514241e-01
2.3000000000e-01,3.9103480174e-01,2.7512568458e-01,-1.1628649105e-01
2.4000000000e-01,3.9369752571e-01,2.7763840242e-01,-1.2159432606e-01
2.5000000000e-01,3.9662099694e-01,2.8030953094e-01,-1.2703944362e-01
2.6000000000e-01,3.9980987090e-01,2.8314720185e-01,-1.3263216541e-01
2.7000000000e-01,4.0326963278e-01,2.8616030465e-01,-1.3838234941e-01
2.8000000000e-01,4.0700666975e-01,2.8935856501e-01,-1.4429939910e-01
2.9000000000e-01,4.1102835416e-01,2.9275263381e-01,-1.5039227111e-01
3.0000000000e-01,4.1534313917e-01,2.9635418844e-01,-1.5666948143e-01
3.1000000000e-01,4.1996066879e-01,3.0017604836e-01,-1.6313911012e-01
3.2000000000e-01,4.2489190475e-01,3.0423230721e-01,-1.6980880474e-01
3.3000000000e-01,4.3014927294e-01,3.0853848434e-01,-1.7668578235e-01
3.4000000000e-01,4.3574683274e-01,3.1311169903e-01,-1.8377683025e-01
3.5000000000e-01,4.4170047330e-01,3.1797087159e-01,-1.9108830544e-01
3.6000000000e-01,4.4802814176e-01,3.2313695603e-01,-1.9862613289e-01
3.7000000000e-01,4.5475010915e-01,3.2863321045e-01,-2.0639580255e-01
3.8000000000e-01,4.6188928138e-01,3.3448551229e-01,-2.1440236526e-01
3.9000000000e-01,4.6947156418e-01,3.4072272729e-01,-2.2265042754e-01
4.0000000000e-01,4.7752629291e-01,3.4737714328e-01,-2.3114414526e-01
4.1000000000e-01,4.8608674094e-01,3.5448498236e-01,-2.3988721628e-01
4.2000000000e-01,4.9519072356e-01,3.6208700838e-01,-2.4888287206e-01
4.3000000000e-01,5.0488131875e-01,3.7022925123e-01,-2.5813386829e-01
4.4000000000e-01,5.1520773185e-01,3.7896387484e-01,-2.6764247460e-01
4.5000000000e-01,5.2622633853e-01,3.8835022327e-01,-2.7741046333e-01
4.6000000000e-01,5.3800195004e-01,3.9845608904e-01,-2.8743909743e-01
4.7000000000e-01,5.5060935801e-01,4.0935926073e-01,-2.9772911754e-01
4.8000000000e-01,5.6413523310e-01,4.2114942432e-01,-3.0828072832e-01
4.9000000000e-01,5.7868047550e-01,4.3393051627e-01,-3.1909358397e-01
5.0000000000e-01,5.9436314777e-01,4.4782365868e-01,-3.3016677309e-01
5.1000000000e-01,6.1132216515e-01,4.6297085180e-01,-3.4149880295e-01
5.2000000000e-01,6.2972198136e-01,4.7953966184e-01,-3.5308758304e-01
5.3000000000e-01,6.4975859789e-01,4.9772923207e-01,-3.6493040826e-01
5.4000000000e-01,6.7166735377e-01,5.1777807430e-01,-3.7702394145e-01
5.5000000000e-01,6.9573314313e-01,5.3997428776e-01,-3.8936419570e-01
5.6000000000e-01,7.2230399096e-01,5.6466913625e-01,-4.0194651617e-01
5.7000000000e-01,7.5180934936e-01,5.9229534531e-01,-4.1476556175e-01
5.8000000000e-01,7.8478514628e-01,6.2339215183e-01,-4.2781528648e-01
5.9000000000e-01,8.2190868451e-01,6.5864020364e-01,-4.4108892086e-01
6.0000000000e-01,8.6404822650e-01,6.9891114467e-01,-4.5457895323e-01
6.1000000000e-01,9.1233501833e-01,7.4533963908e-01,-4.6827711111e-01
6.2000000000e-01,9.6827056590e-01,7.9943064727e-01,-4.8217434284e-01
6.3000000000e-01,1.0338910807e+00,8.6322387127e-01,-4.9626079942e-01
6.4000000000e-01,1.1120281041e+00,9.3955437859e-01,-5.1052581683e-01
6.5000000000e-01,1.2067380257e+00,1.0324821191e+00,-5.2495789881e-01
6.6000000000e-01,1.3240436450e+00,1.1480334861e+00,-5.3954470034e-01
6.7000000000e-01,1.4732886968e+00,1.2955558399e+00,-5.5427301188e-01
6.8000000000e-01,1.6697908965e+00,1.4903705514e+00,-5.6912874455e-01
6.9000000000e-01,1.9405219714e+00,1.7594530306e+00,-5.8409691641e-01
7.0000000000e-01,2.3377900222e+00,2.1551150871e+00,-5.9916163991e-01
7.1000000000e-01,2.9781135623e+00,2.7938789650e+00,-6.1430611083e-01
7.2000000000e-01,4.1843566443e+00,3.9986124671e+00,-6.2951259873e-01
7.3000000000e-01,7.3053532200e+00,7.1181533112e+00,-6.4476243918e-01
7.4000000000e-01,3.4539017967e+01,3.4350419953e+01,-6.6003602793e-01
7.5000000000e-01,1.1708193090e+01,1.1898127798e+01,-6.7531281734e-01
7.6000000000e-01,4.8338909844e+00,5.0250971867e+00,-6.9057131477e-01
7.7000000000e-01,2.9745270637e+00,3.1669357738e+00,-7.0578908412e-01
7.8000000000e-01,2.1087891493e+00,2.3023276026e+00,-7.2094274967e-01
7.9000000000e-01,1.6080083974e+00,1.8026000639e+00,-7.3600800315e-01
8.0000000000e-01,1.2815223908e+00,1.4770869956e+00,-7.5095961401e-01
8.1000000000e-01,1.0518032764e+00,1.2482568259e+00,-7.6577144317e-01
8.2000000000e-01,8.8138490155e-01,1.0786397172e+00,-7.8041646053e-01
8.3000000000e-01,7.4994738808e-01,9.4791214801e-01,-7.9486676644e-01
8.4000000000e-01,6.4551621434e-01,8.4409600272e-01,-8.0909361746e-01
8.5000000000e-01,5.6057744806e-01,7.5967381316e-01,-8.2306745655e-01
8.6000000000e-01,4.9017816909e-01,6.8968919024e-01,-8.3675794817e-01
8.7000000000e-01,4.3092142223e-01,6.3074178623e-01,-8.5013401826e-01
8.8000000000e-01,3.8040001190e-01,5.8042109931e-01,-8.6316389967e-01
8.9000000000e-01,3.3686075030e-01,5.3697073201e-01,-8.7581518311e-01
9.0000000000e-01,2.9899667812e-01,4.9908062268e-01,-8.8805487392e-01
9.1000000000e-01,2.6581374837e-01,4.6575374050e-01,-8.9984945502e-01
9.2000000000e-01,2.3654259300e-01,4.3621786370e-01,-9.1116495614e-01
9.3000000000e-01,2.1057853328e-01,4.0986560194e-01,-9.2196702976e-01
9.4000000000e-01,1.8743981902e-01,3.8621264790e-01,-9.3222103383e-01
9.5000000000e-01,1.6673794432e-01,3.6486810579e-01,-9.4189212157e-01
9.6000000000e-01,1.4815615153e-01,3.4551300846e-01,-9.5094533867e-01
9.7000000000e-01,1.3143360292e-01,3.2788450251e-01,-9.5934572783e-01
9.8000000000e-01,1.1635354890e-01,3.1176403017e-01,-9.6705844112e-01
9.9000000000e-01,1.0273436191e-01,2.9696837730e-01,-9.7404886005e-01
1.0000000000e+00,9.0422656852e-02,2.8334280796e-01,-9.8028272363e-01
1.0100000000e+00,7.9287951585e-02,2.7075573939e-01,-9.8572626451e-01
1.0200000000e+00,6.9218479142e-02,2.5909456877e-01,-9.9034635318e-01
1.0300000000e+00,6.0117870980e-02,2.4826237113e-01,-9.9411065027e-01
1.0400000000e+00,5.1902506386e-02,2.3817526347e-01,-9.9698776702e-01
1.0500000000e+00,4.4499376358e-02,2.2876028333e-01,-9.9894743377e-01
1.0600000000e+00,3.7844348586e-02,2.1995366842e-01,-9.9996067631e-01
1.0700000000e+00,3.1880747850e-02,2.1169945145e-01,-1.0000000000e+00
1.0800000000e+00,2.6558186509e-02,2.0394830488e-01,-9.9903958142e-01
1.0900000000e+00,2.1831594814e-02,1.9665658522e-01,-9.9705546710e-01
1.1000000000e+00,1.7660412051e-02,1.8978553769e-01,-9.9402577918e-01
1.1100000000e+00,1.4007908028e-02,1.8330063086e-01,-9.8993092722e-01
1.1200000000e+00,1.0840610927e-02,1.7717099700e-01,-9.8475382598e-01
1.1300000000e+00,8.1278224980e-03,1.7136895915e-01,-9.7848011820e-01
1.1400000000e+00,5.8412054390e-03,1.6586962957e-01,-9.7109840185e-01
1.1500000000e+00,3.9544308018e-03,1.6065056733e-01,-9.6260046086e-01
1.1600000000e+00,2.4428756330e-03,1.5569148516e-01,-9.5298149855e-01
1.1700000000e+00,1.2833629051e-03,1.5097399739e-01,-9.4224037254e-01
1.1800000000e+00,4.5393728341e-04,1.4648140253e-01,-9.3037982996e-01
1.1900000000e+00,6.6328546827e-05,1.4219849498e-01,-9.1740674180e-01
1.2000000000e+00,2.9750131739e-04,1.3811140143e-01,-9.0333233475e-01
1.2100000000e+00,2.5893193490e-04,1.3420743828e-01,-8.8817241912e-01
1.2200000000e+00,3.0619507965e-05,1.3047498698e-01,-8.7194761099e-01
1.2300000000e+00,5.5287604358e-04,1.2690338472e-01,-8.5468354683e-01
1.2400000000e+00,1.2899514547e-03,1.2348282831e-01,-8.3641108853e-01
1.2500000000e+00,2.2242715486e-03,1.2020428938e-01,-8.1716651673e-01
1.2600000000e+00,3.3385076962e-03,1.1705943951e-01,-7.9699171007e-01
1.2700000000e+00,4.6155214854e-03,1.1404058378e-01,-7.7593430804e-01
1.2800000000e+00,6.0383195325e-03,1.1114060180e-01,-7.5404785473e-01
1.2900000000e+00,7.5900176516e-03,1.0835289519e-01,-7.3139192088e-01
1.3000000000e+00,9.2538137187e-03,1.0567134073e-01,-7.0803220126e-01
1.3100000000e+00,1.1012968673e-02,1.0309024839e-01,-6.8404058442e-01
1.3200000000e+00,1.2850795187e-02,1.0060432387e-01,-6.5949519187e-01
1.3300000000e+00,1.4750653619e-02,9.8208634793e-02,-6.3448038327e-01
1.3400000000e+00,1.6695954901e-02,9.5898580436e-02,-6.0908672451e-01
1.3500000000e+00,1.8670170082e-02,9.3669864368e-02,-5.8341091527e-01
1.3600000000e+00,2.0656846280e-02,9.1518469790e-02,-5.5755567276e-01
1.3700000000e+00,2.2639628799e-02,8.9440637211e-02,-5.3162956806e-01
1.3800000000e+00,2.4602289214e-02,8.7432844238e-02,-5.0574681183e-01
1.3900000000e+00,2.6528759228e-02,8.5491787238e-02,-4.8002698596e-01
1.4000000000e+00,2.8403170092e-02,8.3614364671e-02,-4.5459471785e-01
1.4100000000e+00,3.0209897396e-02,8.1797661927e-02,-4.2957929419e-01
1.4200000000e+00,3.1933611014e-02,8.0038937501e-02,-4.0511421127e-01
1.4300000000e+00,3.3559329987e-02,7.8335610383e-02,-3.8133665892e-01
1.4400000000e+00,3.5072482078e-02,7.6685248523e-02,-3.5838693566e-01
