eps_r_prime,rho_m,k0_rho,abs_v,normalized_abs_v,re_v,im_v
1.0100000000e+00,4.7713458277e-05,1.0000000000e-02,1.0291879125e+04,5.3891140275e+00,1.0291876985e+04,-6.6370154660e+00
1.0100000000e+00,5.4782379915e-05,1.1481536215e-02,8.9463362869e+03,4.6845503910e+00,8.9463338250e+03,-6.6369942345e+00
1.0100000000e+00,6.2898587893e-05,1.3182567386e-02,7.7744007702e+03,4.0708923743e+00,7.7743979373e+03,-6.6369662459e+00
1.0100000000e+00,7.2217241477e-05,1.5135612484e-02,6.7536638545e+03,3.5364061484e+00,6.7536605933e+03,-6.6369293499e+00
1.0100000000e+00,8.2916487336e-05,1.7378008287e-02,5.8646194555e+03,3.0708777853e+00,5.8646157001e+03,-6.6368807118e+00
1.0100000000e+00,9.5200865217e-05,1.9952623150e-02,5.0902692465e+03,2.6654064887e+00,5.0902649199e+03,-6.6368165946e+00
1.0100000000e+00,1.0930521817e-04,2.2908676528e-02,4.4158132729e+03,2.3122425908e+00,4.4158082856e+03,-6.6367320724e+00
1.0100000000e+00,1.2549918209e-04,2.6302679919e-02,3.8283603623e+03,2.0046359155e+00,3.8283546099e+03,-6.6366206516e+00
1.0100000000e+00,1.4409234041e-04,3.0199517204e-02,3.3166724515e+03,1.7367019002e+00,3.3166658119e+03,-6.6364737724e+00
1.0100000000e+00,1.6544014247e-04,3.4673685045e-02,2.8709827271e+03,1.5033263702e+00,2.8709750572e+03,-6.6362801514e+00
1.0100000000e+00,1.8995069872e-04,3.9810717055e-02,2.4827707455e+03,1.3000477842e+00,2.4827618770e+03,-6.6360249154e+00
1.0100000000e+00,2.1809258264e-04,4.5708818961e-02,2.1446203100e+03,1.1229828155e+00,2.1446100442e+03,-6.6356884596e+00
1.0100000000e+00,2.5040378858e-04,5.2480746025e-02,1.8500741074e+03,9.6875023532e-01,1.8500622088e+03,-6.6352449429e+00
1.0100000000e+00,2.8750201669e-04,6.0255958607e-02,1.5935096774e+03,8.3440596722e-01,1.5934958655e+03,-6.6346603064e+00
1.0100000000e+00,3.3009648166e-04,6.9183097092e-02,1.3700349783e+03,7.1738840206e-01,1.3700189171e+03,-6.6338896614e+00
1.0100000000e+00,3.7900147086e-04,7.9432823472e-02,1.1753932968e+03,6.1546860657e-01,1.1753745817e+03,-6.6328738510e+00
1.0100000000e+00,4.3515191132e-04,9.1201083936e-02,1.0058835242e+03,5.2670857719e-01,1.0058616640e+03,-6.6315349214e+00
1.0100000000e+00,4.9962124288e-04,1.0471285481e-01,8.5829089502e+02,4.4942497342e-01,8.5826528919e+02,-6.6297701627e+00
1.0100000000e+00,5.7364193939e-04,1.2022644346e-01,7.2982466428e+02,3.8215648360e-01,7.2979457217e+02,-6.6274442690e+00
1.0100000000e+00,6.5862907015e-04,1.3803842646e-01,6.1807356121e+02,3.2364049931e-01,6.1803806086e+02,-6.6243790324e+00
1.0100000000e+00,7.5620735212e-04,1.5848931925e-01,5.2094283947e+02,2.7278015314e-01,5.2090077087e+02,-6.6203398069e+00
1.0100000000e+00,8.6824220994e-04,1.8197008586e-01,4.3664262994e+02,2.2863821986e-01,4.3659251920e+02,-6.6150177520e+00
1.0100000000e+00,9.9687543768e-04,2.0892961309e-01,3.6362649276e+02,1.9040494055e-01,3.6356644577e+02,-6.6080065747e+00
1.0100000000e+00,1.1445661439e-03,2.3988329190e-01,3.0057502283e+02,1.5738943804e-01,3.0050257995e+02,-6.5987721317e+00
1.0100000000e+00,1.3141377632e-03,2.7542287033e-01,2.4635950174e+02,1.2900068399e-01,2.4627143690e+02,-6.5866128105e+00
1.0100000000e+00,1.5088320320e-03,3.1622776602e-01,2.0001963637e+02,1.0473584222e-01,1.9991168561e+02,-6.5706080861e+00
1.0100000000e+00,1.7323709618e-03,3.6307805477e-01,1.6070297969e+02,8.4148547766e-02,1.6056945865e+02,-6.5495520644e+00
1.0100000000e+00,1.9890279935e-03,4.1686938347e-01,1.2768547461e+02,6.6859664208e-02,1.2751880513e+02,-6.5218682215e+00
1.0100000000e+00,2.2837096940e-03,4.7863009232e-01,1.0028813853e+02,5.2513657380e-02,1.0007821444e+02,-6.4855010574e+00
1.0100000000e+00,2.6220495556e-03,5.4954087386e-01,7.7871645971e+01,4.0775758689e-02,7.7605078647e+01,-6.4377802324e+00
1.0100000000e+00,3.0105156930e-03,6.3095734448e-01,5.9814194466e+01,3.1320375078e-02,5.9473473109e+01,-6.3752534092e+00
1.0100000000e+00,3.4565344955e-03,7.2443596007e-01,4.5503729121e+01,2.3827017587e-02,4.5066408274e+01,-6.2935053209e+00
1.0100000000e+00,3.9686325989e-03,8.3176377110e-01,3.4341001657e+01,1.7981903159e-02,3.3779098331e+01,-6.1868336629e+00
1.0100000000e+00,4.5565998908e-03,9.5499258602e-01,2.5762111323e+01,1.3489757684e-02,2.5042078721e+01,-6.0481958612e+00
1.0100000000e+00,5.2316766663e-03,1.0964781961e+00,1.9250497216e+01,1.0080095513e-02,1.8334090879e+01,-5.8687949955e+00
1.0100000000e+00,6.0067685109e-03,1.2589254118e+00,1.4374636648e+01,7.5269593690e-03,1.3222809411e+01,-5.6380395583e+00
1.0100000000e+00,6.8966930193e-03,1.4454397707e+00,1.0702887059e+01,5.6043292081e-03,9.2734945153e+00,-5.3436027989e+00
1.0100000000e+00,7.9184630665e-03,1.6595869074e+00,7.9864272626e+00,4.1819153402e-03,6.2500368126e+00,-4.9719272182e+00
1.0100000000e+00,9.0916120465e-03,1.9054607180e+00,5.9694119091e+00,3.1257500273e-03,3.9113150263e+00,-4.5094892511e+00
1.0100000000e+00,1.0438567296e-02,2.1877616239e+00,4.4717038499e+00,2.3415084507e-03,2.1049291967e+00,-3.9453020668e+00
1.0100000000e+00,1.1985078845e-02,2.5118864315e+00,3.3565329047e+00,1.7575739417e-03,7.3423541207e-01,-3.2752422048e+00
1.0100000000e+00,1.3760711679e-02,2.8840315031e+00,2.5219475091e+00,1.3205618268e-03,-2.5811357559e-01,-2.5087041716e+00
1.0100000000e+00,1.5799410949e-02,3.3113112148e+00,1.8957021047e+00,9.9264232320e-04,-8.8306739055e-01,-1.6774619082e+00
1.0100000000e+00,1.8140150899e-02,3.8018939632e+00,1.4259688224e+00,7.4667691784e-04,-1.1486942638e+00,-8.4491926886e-01
1.0100000000e+00,2.0827679949e-02,4.3651583224e+00,1.0739498309e+00,5.6234998765e-04,-1.0682575828e+00,-1.1042633770e-01
1.0100000000e+00,2.3913376161e-02,5.0118723363e+00,8.2616490324e-01,4.3260291101e-04,-7.2190532436e-01,4.0174761979e-01
1.0100000000e+00,2.7456229441e-02,5.7543993734e+00,6.1903239232e-01,3.2414256993e-04,-2.0906219770e-01,5.8266122253e-01
1.0100000000e+00,3.1523969265e-02,6.6069344801e+00,4.6516268388e-01,2.4357211296e-04,2.1275230781e-01,4.1365780302e-01
1.0100000000e+00,3.6194359476e-02,7.5857757503e+00,3.5190829615e-01,1.8426896704e-04,3.4908391048e-01,4.4495756473e-02
1.0100000000e+00,4.1556684910e-02,8.7096358996e+00,2.6885239490e-01,1.4077858816e-04,1.5019180168e-01,-2.2298886284e-01
2.2000000000e+00,4.7713458277e-05,1.0000000000e-02,6.4411047496e+03,3.3727415118e+00,6.4411023298e+03,5.5832146309e+00
2.2000000000e+00,5.4782379915e-05,1.1481536215e-02,5.5959141704e+03,2.9301762280e+00,5.5959113851e+03,5.5831741954e+00
2.2000000000e+00,6.2898587893e-05,1.3182567386e-02,4.8597665786e+03,2.5447088837e+00,4.8597633715e+03,5.5831208913e+00
2.2000000000e+00,7.2217241477e-05,1.5135612484e-02,4.2185917280e+03,2.2089719071e+00,4.2185880335e+03,5.5830506233e+00
2.2000000000e+00,8.2916487336e-05,1.7378008287e-02,3.6601354731e+03,1.9165486867e+00,3.6601312151e+03,5.5829579926e+00
2.2000000000e+00,9.5200865217e-05,1.9952623150e-02,3.1737586538e+03,1.6618682627e+00,3.1737537435e+03,5.5828358829e+00
2.2000000000e+00,1.0930521817e-04,2.2908676528e-02,2.7500774174e+03,1.4400169889e+00,2.7500717510e+03,5.5826749130e+00
2.2000000000e+00,1.2549918209e-04,2.6302679919e-02,2.3810374382e+03,1.2467773963e+00,2.3810308940e+03,5.5824627170e+00
2.2000000000e+00,1.4409234041e-04,3.0199517204e-02,2.0596029452e+03,1.0784653598e+00,2.0595953804e+03,5.5821829947e+00
2.2000000000e+00,1.6544014247e-04,3.4673685045e-02,1.7796155016e+03,9.3185615059e-01,1.7796067479e+03,5.5818142601e+00
2.2000000000e+00,1.8995069872e-04,3.9810717055e-02,1.5357338103e+03,8.0415291700e-01,1.5357236681e+03,5.5813281926e+00
2.2000000000e+00,2.1809258264e-04,4.5708818961e-02,1.3233345216e+03,6.9293474466e-01,1.3233227543e+03,5.5806874646e+00
2.2000000000e+00,2.5040378858e-04,5.2480746025e-02,1.1382561767e+03,5.9602257803e-01,1.1382425001e+03,5.5798428793e+00
2.2000000000e+00,2.8750201669e-04,6.0255958607e-02,9.7706461500e+02,5.1161819515e-01,9.7704868848e+02,5.5787296008e+00
2.2000000000e+00,3.3009648166e-04,6.9183097092e-02,8.3665551157e+02,4.3809608517e-01,8.3663692196e+02,5.5772621910e+00
2.2000000000e+00,3.7900147086e-04,7.9432823472e-02,7.1437377809e+02,3.7406597005e-01,7.1435202144e+02,5.5753280758e+00
2.2000000000e+00,4.3515191132e-04,9.1201083936e-02,6.0796946721e+02,3.1834971479e-01,6.0794392603e+02,5.5727789500e+00
2.2000000000e+00,4.9962124288e-04,1.0471285481e-01,5.1521345472e+02,2.6978008800e-01,5.1518335133e+02,5.5694194764e+00
2.2000000000e+00,5.7364193939e-04,1.2022644346e-01,4.3455667062e+02,2.2754595356e-01,4.3452103613e+02,5.5649924415e+00
2.2000000000e+00,6.5862907015e-04,1.3803842646e-01,3.6443286859e+02,1.9082718135e-01,3.6439046565e+02,5.5591592764e+00
2.2000000000e+00,7.5620735212e-04,1.5848931925e-01,3.0355159865e+02,1.5894805589e-01,3.0350083060e+02,5.5514745372e+00
2.2000000000e+00,8.6824220994e-04,1.8197008586e-01,2.5082547138e+02,1.3133918985e-01,2.5076425284e+02,5.5413525369e+00
2.2000000000e+00,9.9687543768e-04,2.0892961309e-01,2.0529359586e+02,1.0749743403e-01,2.0521915470e+02,5.5280238318e+00
2.2000000000e+00,1.1445661439e-03,2.3988329190e-01,1.6609029608e+02,8.6969496394e-02,1.6599885866e+02,5.5104786827e+00
2.2000000000e+00,1.3141377632e-03,2.7542287033e-01,1.3263000080e+02,6.9448755581e-02,1.3251643529e+02,5.4873939449e+00
2.2000000000e+00,1.5088320320e-03,3.1622776602e-01,1.0428694055e+02,5.4607541283e-02,1.0414406700e+02,5.4570391546e+00
2.2000000000e+00,1.7323709618e-03,3.6307805477e-01,8.0598144295e+01,4.2203429009e-02,8.0415889438e+01,5.4171569792e+00
2.2000000000e+00,1.9890279935e-03,4.1686938347e-01,6.1075020840e+01,3.1980578818e-02,6.0838942731e+01,5.3648129493e+00
2.2000000000e+00,2.2837096940e-03,4.7863009232e-01,4.5342558693e+01,2.3742624271e-02,4.5032186143e+01,5.2962099650e+00
2.2000000000e+00,2.6220495556e-03,5.4954087386e-01,3.2991132362e+01,1.7275074070e-02,3.2577715286e+01,5.2064653397e+00
2.2000000000e+00,3.0105156930e-03,6.3095734448e-01,2.3609354650e+01,1.2362514443e-02,2.3054286073e+01,5.0893536582e+00
2.2000000000e+00,3.4565344955e-03,7.2443596007e-01,1.6770809175e+01,8.7816619182e-03,1.6027656559e+01,4.9370300404e+00
2.2000000000e+00,3.9686325989e-03,8.3176377110e-01,1.2032562076e+01,6.3005840126e-03,1.1059707597e+01,4.7397698252e+00
2.2000000000e+00,4.5565998908e-03,9.5499258602e-01,8.9232229539e+00,4.6724476073e-03,7.7137227347e+00,4.4857986419e+00
2.2000000000e+00,5.2316766663e-03,1.0964781961e+00,6.9806525364e+00,3.6552637326e-03,5.6047005793e+00,4.1613508925e+00
2.2000000000e+00,6.0067685109e-03,1.2589254118e+00,5.7679967130e+00,3.0202834312e-03,4.3815876605e+00,3.7511965630e+00
2.2000000000e+00,6.8966930193e-03,1.4454397707e+00,4.9589666507e+00,2.5966527993e-03,3.7541409560e+00,3.2400271489e+00
2.2000000000e+00,7.9184630665e-03,1.6595869074e+00,4.3547512225e+00,2.2802688037e-03,3.4819701990e+00,2.6152899921e+00
2.2000000000e+00,9.0916120465e-03,1.9054607180e+00,3.8607421036e+00,2.0215918954e-03,3.3763814198e+00,1.8722654988e+00
2.2000000000e+00,1.0438567296e-02,2.1877616239e+00,3.4334769667e+00,1.7978639916e-03,3.2777682716e+00,1.0222520425e+00
2.2000000000e+00,1.1985078845e-02,2.5118864315e+00,3.0417299444e+00,1.5927343600e-03,3.0399409478e+00,1.0430766365e-01
2.2000000000e+00,1.3760711679e-02,2.8840315031e+00,2.7198013471e+00,1.4241635968e-03,2.5992945333e+00,-8.0061682297e-01
2.2000000000e+00,1.5799410949e-02,3.3113112148e+00,2.4195473820e+00,1.2669422735e-03,1.8509387106e+00,-1.5582796358e+00
2.2000000000e+00,1.8140150899e-02,3.8018939632e+00,2.1506302459e+00,1.1261297850e-03,8.2753884991e-01,-1.9850415377e+00
2.2000000000e+00,2.0827679949e-02,4.3651583224e+00,1.9139652245e+00,1.0022054004e-03,-3.0519176602e-01,-1.8894763472e+00
2.2000000000e+00,2.3913376161e-02,5.0118723363e+00,1.7019997615e+00,8.9121439131e-04,-1.2287857614e+00,-1.1776624053e+00
2.2000000000e+00,2.7456229441e-02,5.7543993734e+00,1.5177206066e+00,7.9472070277e-04,-1.5175865041e+00,-2.0175287779e-02
2.2000000000e+00,3.1523969265e-02,6.6069344801e+00,1.3554049684e+00,7.0972772218e-04,-8.9245811432e-01,1.0201182003e+00
2.2000000000e+00,3.6194359476e-02,7.5857757503e+00,1.2105114717e+00,6.3385745922e-04,3.3356603479e-01,1.1636458755e+00
