eps_r_prime,rho_m,k0_rho,abs_v,normalized_abs_v,re_v,im_v
2.2000000000e+00,4.1556684910e-02,8.7096358996e+00,1.0836143932e+00,5.6741062114e-04,1.0725613325e+00,1.5437726906e-01
4.3400000000e+00,4.7713458277e-05,1.0000000000e-02,3.8412867219e+03,2.0114045167e+00,3.8412422218e+03,1.8489799594e+01
4.3400000000e+00,5.4782379915e-05,1.1481536215e-02,3.3348055307e+03,1.7461968846e+00,3.3347542727e+03,1.8489671035e+01
4.3400000000e+00,6.2898587893e-05,1.3182567386e-02,2.8936686795e+03,1.5152053656e+00,2.8936096082e+03,1.8489501561e+01
4.3400000000e+00,7.2217241477e-05,1.5135612484e-02,2.5094487485e+03,1.3140171282e+00,2.5093806343e+03,1.8489278153e+01
4.3400000000e+00,8.2916487336e-05,1.7378008287e-02,2.1747958913e+03,1.1387835888e+00,2.1747172980e+03,1.8488983647e+01
4.3400000000e+00,9.5200865217e-05,1.9952623150e-02,1.8833370117e+03,9.8616761673e-01,1.8832462588e+03,1.8488595415e+01
4.3400000000e+00,1.0930521817e-04,2.2908676528e-02,1.6294491518e+03,8.5322487514e-01,1.6293442635e+03,1.8488083633e+01
4.3400000000e+00,1.2549918209e-04,2.6302679919e-02,1.4083065897e+03,7.3742848177e-01,1.4081852386e+03,1.8487408986e+01
4.3400000000e+00,1.4409234041e-04,3.0199517204e-02,1.2156956236e+03,6.3657202527e-01,1.2155550575e+03,1.8486519648e+01
4.3400000000e+00,1.6544014247e-04,3.4673685045e-02,1.0479248955e+03,5.4872260794e-01,1.0477618424e+03,1.8485347309e+01
4.3400000000e+00,1.8995069872e-04,3.9810717055e-02,9.0179561352e+02,4.7220525347e-01,9.0160616548e+02,1.8483801928e+01
4.3400000000e+00,2.1809258264e-04,4.5708818961e-02,7.7454250973e+02,4.0557199064e-01,7.7432197680e+02,1.8481764830e+01
4.3400000000e+00,2.5040378858e-04,5.2480746025e-02,6.6366228382e+02,3.4751202185e-01,6.6340496726e+02,1.8479079603e+01
4.3400000000e+00,2.8750201669e-04,6.0255958607e-02,5.6711015660e+02,2.9695464385e-01,5.6680912496e+02,1.8475540117e+01
4.3400000000e+00,3.3009648166e-04,6.9183097092e-02,4.8302588718e+02,2.5292578281e-01,4.8267259552e+02,1.8470874744e+01
4.3400000000e+00,3.7900147086e-04,7.9432823472e-02,4.0982496404e+02,2.1459574445e-01,4.0940878723e+02,1.8464725590e+01
4.3400000000e+00,4.3515191132e-04,9.1201083936e-02,3.4617321807e+02,1.8126592072e-01,3.4568084998e+02,1.8456621172e+01
4.3400000000e+00,4.9962124288e-04,1.0471285481e-01,2.9072013592e+02,1.5222914529e-01,2.9013435630e+02,1.8445940501e+01
4.3400000000e+00,5.7364193939e-04,1.2022644346e-01,2.4256166316e+02,1.2701203013e-01,2.4186034556e+02,1.8431865906e+01
4.3400000000e+00,6.5862907015e-04,1.3803842646e-01,2.0079377188e+02,1.0514120109e-01,1.9994771425e+02,1.8413321132e+01
4.3400000000e+00,7.5620735212e-04,1.5848931925e-01,1.6463928989e+02,8.6209709217e-02,1.6360912105e+02,1.8388890264e+01
4.3400000000e+00,8.6824220994e-04,1.8197008586e-01,1.3348582347e+02,6.9896888122e-02,1.3221760927e+02,1.8356711734e+01
4.3400000000e+00,9.9687543768e-04,2.0892961309e-01,1.0679450858e+02,5.5920573617e-02,1.0521241375e+02,1.8314340144e+01
4.3400000000e+00,1.1445661439e-03,2.3988329190e-01,8.4093587675e+01,4.4033740338e-02,8.2087491290e+01,1.8258566804e+01
4.3400000000e+00,1.3141377632e-03,2.7542287033e-01,6.5115246198e+01,3.4096153136e-02,6.2524349115e+01,1.8185187797e+01
4.3400000000e+00,1.5088320320e-03,3.1622776602e-01,4.9583450072e+01,2.5963272895e-02,4.6166191380e+01,1.8088706269e+01
4.3400000000e+00,1.7323709618e-03,3.6307805477e-01,3.7363131904e+01,1.9564374573e-02,3.2762354001e+01,1.7961953847e+01
4.3400000000e+00,1.9890279935e-03,4.1686938347e-01,2.8323088242e+01,1.4830756395e-02,2.2034368551e+01,1.7795615475e+01
4.3400000000e+00,2.2837096940e-03,4.7863009232e-01,2.2331354079e+01,1.1693317815e-02,1.3773735994e+01,1.7577644090e+01
4.3400000000e+00,2.6220495556e-03,5.4954087386e-01,1.8943742230e+01,9.9194700740e-03,7.7351640222e+00,1.7292559302e+01
4.3400000000e+00,3.0105156930e-03,6.3095734448e-01,1.7311672752e+01,9.0648731235e-03,3.6586704318e+00,1.6920642545e+01
4.3400000000e+00,3.4565344955e-03,7.2443596007e-01,1.6485394520e+01,8.6322108704e-03,1.2612228428e+00,1.6437078494e+01
4.3400000000e+00,3.9686325989e-03,8.3176377110e-01,1.5812976602e+01,8.2801141553e-03,2.3952600091e-01,1.5811162396e+01
4.3400000000e+00,4.5565998908e-03,9.5499258602e-01,1.5008564008e+01,7.8589013577e-03,2.8717509656e-01,1.5005816340e+01
4.3400000000e+00,5.2316766663e-03,1.0964781961e+00,1.4021306412e+01,7.3419458344e-03,1.1028848538e+00,1.3977863875e+01
4.3400000000e+00,6.0067685109e-03,1.2589254118e+00,1.2904807616e+01,6.7573160259e-03,2.3991167251e+00,1.2679838270e+01
4.3400000000e+00,6.8966930193e-03,1.4454397707e+00,1.1744486571e+01,6.1497396695e-03,3.9380366976e+00,1.1064575536e+01
4.3400000000e+00,7.9184630665e-03,1.6595869074e+00,1.0604963759e+01,5.5530538456e-03,5.4549190417e+00,9.0944551551e+00
4.3400000000e+00,9.0916120465e-03,1.9054607180e+00,9.5329984016e+00,4.9917429837e-03,6.7239070400e+00,6.7577461215e+00
4.3400000000e+00,1.0438567296e-02,2.1877616239e+00,8.5499125679e+00,4.4769719111e-03,7.5056806618e+00,4.0946016562e+00
4.3400000000e+00,1.1985078845e-02,2.5118864315e+00,7.6556883774e+00,4.0087312652e-03,7.5556397207e+00,1.2336421456e+00
4.3400000000e+00,1.3760711679e-02,2.8840315031e+00,6.8670027817e+00,3.5957535615e-03,6.6861634806e+00,-1.5655494608e+00
4.3400000000e+00,1.5799410949e-02,3.3113112148e+00,6.1570643343e+00,3.2240100539e-03,4.7791710464e+00,-3.8818765211e+00
4.3400000000e+00,1.8140150899e-02,3.8018939632e+00,5.5260480660e+00,2.8935923934e-03,1.9891148752e+00,-5.1556405267e+00
4.3400000000e+00,2.0827679949e-02,4.3651583224e+00,4.9659412132e+00,2.6003048741e-03,-1.1317782409e+00,-4.8352507842e+00
4.3400000000e+00,2.3913376161e-02,5.0118723363e+00,4.4723777620e+00,2.3418613298e-03,-3.5502057379e+00,-2.7199636145e+00
4.3400000000e+00,2.7456229441e-02,5.7543993734e+00,4.0348002846e+00,2.1127335978e-03,-3.9987914989e+00,5.3784745504e-01
4.3400000000e+00,3.1523969265e-02,6.6069344801e+00,3.6497793064e+00,1.9111259099e-03,-1.8601271986e+00,3.1401935912e+00
4.3400000000e+00,3.6194359476e-02,7.5857757503e+00,3.3067456495e+00,1.7315039508e-03,1.5865854377e+00,2.9012606638e+00
4.3400000000e+00,4.1556684910e-02,8.7096358996e+00,3.0066414820e+00,1.5743610657e-03,2.9864309705e+00,-3.4802738393e-01
9.6000000000e+00,4.7713458277e-05,1.0000000000e-02,1.9097534534e+03,1.0000000000e+00,1.9092239702e+03,4.4967592070e+01
9.6000000000e+00,5.4782379915e-05,1.1481536215e-02,1.6546785741e+03,8.6643570203e-01,1.6540674505e+03,4.4967239244e+01
9.6000000000e+00,6.2898587893e-05,1.3182567386e-02,1.4325351416e+03,7.5011522514e-01,1.4318292221e+03,4.4966774130e+01
9.6000000000e+00,7.2217241477e-05,1.5135612484e-02,1.2390781491e+03,6.4881576566e-01,1.2382619690e+03,4.4966160995e+01
9.6000000000e+00,8.2916487336e-05,1.7378008287e-02,1.0706278919e+03,5.6061052803e-01,1.0696832241e+03,4.4965352733e+01
9.6000000000e+00,9.5200865217e-05,1.9952623150e-02,9.2393009765e+02,4.8379548471e-01,9.2283532563e+02,4.4964287248e+01
9.6000000000e+00,1.0930521817e-04,2.2908676528e-02,7.9619758674e+02,4.1691119099e-01,7.9492700062e+02,4.4962882687e+01
9.6000000000e+00,1.2549918209e-04,2.6302679919e-02,6.8499229076e+02,3.5868100646e-01,6.8351513815e+02,4.4961031151e+01
9.6000000000e+00,1.4409234041e-04,3.0199517204e-02,5.8819375831e+02,3.0799460384e-01,5.8647303643e+02,4.4958590415e+01
9.6000000000e+00,1.6544014247e-04,3.4673685045e-02,5.0395851188e+02,2.6388668704e-01,5.0194939599e+02,4.4955373010e+01
9.6000000000e+00,1.8995069872e-04,3.9810717055e-02,4.3071164731e+02,2.2553259246e-01,4.2835956727e+02,4.4951131837e+01
9.6000000000e+00,2.1809258264e-04,4.5708818961e-02,3.6699308584e+02,1.9216778228e-01,3.6423045367e+02,4.4945541218e+01
9.6000000000e+00,2.5040378858e-04,5.2480746025e-02,3.1163175454e+02,1.6317905015e-01,3.0837462791e+02,4.4938171930e+01
9.6000000000e+00,2.8750201669e-04,6.0255958607e-02,2.6360077859e+02,1.3802869586e-01,2.5974372775e+02,4.4928458330e+01
9.6000000000e+00,3.3009648166e-04,6.9183097092e-02,2.2199296686e+02,1.1624168893e-01,2.1740161283e+02,4.4915655074e+01
9.6000000000e+00,3.7900147086e-04,7.9432823472e-02,1.8605263247e+02,9.7422330691e-02,1.8055381910e+02,4.4898780155e+01
9.6000000000e+00,4.3515191132e-04,9.1201083936e-02,1.5516645510e+02,8.1249469572e-02,1.4853526499e+02,4.4876539998e+01
9.6000000000e+00,4.9962124288e-04,1.0471285481e-01,1.2872679120e+02,6.7404926524e-02,1.2066197680e+02,4.4847231000e+01
9.6000000000e+00,5.7364193939e-04,1.2022644346e-01,1.0639367077e+02,5.5710683798e-02,9.6497676793e+01,4.4808610271e+01
9.6000000000e+00,6.5862907015e-04,1.3803842646e-01,8.7835706423e+01,4.5993217746e-02,7.5576830281e+01,4.4757726122e+01
9.6000000000e+00,7.5620735212e-04,1.5848931925e-01,7.2857717183e+01,3.8150326187e-02,5.7541190698e+01,4.4690696193e+01
9.6000000000e+00,8.6824220994e-04,1.8197008586e-01,6.1320478202e+01,3.2109107117e-02,4.2081176134e+01,4.4602417672e+01
9.6000000000e+00,9.9687543768e-04,2.0892961309e-01,5.3071753978e+01,2.7789845796e-02,2.8941146629e+01,4.4486190016e+01
9.6000000000e+00,1.1445661439e-03,2.3988329190e-01,4.7807867579e+01,2.5033528539e-02,1.7892939836e+01,4.4333225762e+01
9.6000000000e+00,1.3141377632e-03,2.7542287033e-01,4.5003699890e+01,2.3565188381e-02,8.8146374460e+00,4.4132019787e+01
9.6000000000e+00,1.5088320320e-03,3.1622776602e-01,4.3895415920e+01,2.2984860084e-02,1.5640568373e+00,4.3867542272e+01
9.6000000000e+00,1.7323709618e-03,3.6307805477e-01,4.3698262053e+01,2.2881624838e-02,-3.9406626357e+00,4.3520216962e+01
9.6000000000e+00,1.9890279935e-03,4.1686938347e-01,4.3764960617e+01,2.2916550060e-02,-7.7979466781e+00,4.3064646817e+01
9.6000000000e+00,2.2837096940e-03,4.7863009232e-01,4.3645864654e+01,2.2854188103e-02,-1.0071022899e+01,4.2468058575e+01
9.6000000000e+00,2.6220495556e-03,5.4954087386e-01,4.3077811150e+01,2.2556739496e-02,-1.0852174757e+01,4.1688465030e+01
9.6000000000e+00,3.0105156930e-03,6.3095734448e-01,4.1946318349e+01,2.1964258410e-02,-1.0258309651e+01,4.0672603877e+01
9.6000000000e+00,3.4565344955e-03,7.2443596007e-01,4.0246305691e+01,2.1074084521e-02,-8.4285926465e+00,3.9353830153e+01
9.6000000000e+00,3.9686325989e-03,8.3176377110e-01,3.8062082434e+01,1.9930364502e-02,-5.5832664048e+00,3.7650355317e+01
9.6000000000e+00,4.5565998908e-03,9.5499258602e-01,3.5516824863e+01,1.8597596878e-02,-1.9253547224e+00,3.5464600062e+01
9.6000000000e+00,5.2316766663e-03,1.0964781961e+00,3.2764013224e+01,1.7156148175e-02,2.2734582746e+00,3.2685041686e+01
9.6000000000e+00,6.0067685109e-03,1.2589254118e+00,2.9954123111e+01,1.5684811596e-02,6.7100756339e+00,2.9192882289e+01
9.6000000000e+00,6.8966930193e-03,1.4454397707e+00,2.7208730687e+01,1.4247247800e-02,1.1019990832e+01,2.4877194931e+01
9.6000000000e+00,7.9184630665e-03,1.6595869074e+00,2.4620040829e+01,1.2891737824e-02,1.4814903554e+01,1.9663800322e+01
9.6000000000e+00,9.0916120465e-03,1.9054607180e+00,2.2237665547e+01,1.1644259895e-02,1.7621619524e+01,1.3564375929e+01
9.6000000000e+00,1.0438567296e-02,2.1877616239e+00,2.0080669058e+01,1.0514796568e-02,1.8911659746e+01,6.7514735762e+00
9.6000000000e+00,1.1985078845e-02,2.5118864315e+00,1.8156025378e+01,9.5069996315e-03,1.8152810602e+01,-3.4165007106e-01
9.6000000000e+00,1.3760711679e-02,2.8840315031e+00,1.6423214105e+01,8.5996514762e-03,1.4895405927e+01,-6.9172858688e+00
9.6000000000e+00,1.5799410949e-02,3.3113112148e+00,1.4883756434e+01,7.7935486424e-03,9.1115435519e+00,-1.1768856346e+01
9.6000000000e+00,1.8140150899e-02,3.8018939632e+00,1.3511648220e+01,7.0750746365e-03,1.5042865948e+00,-1.3427649067e+01
9.6000000000e+00,2.0827679949e-02,4.3651583224e+00,1.2295745841e+01,6.4383943485e-03,-6.0620964719e+00,-1.0697492798e+01
9.6000000000e+00,2.3913376161e-02,5.0118723363e+00,1.1214795273e+01,5.8723785800e-03,-1.0581770820e+01,-3.7145335277e+00
9.6000000000e+00,2.7456229441e-02,5.7543993734e+00,1.0270299035e+01,5.3778140928e-03,-9.0910025433e+00,4.7783590315e+00
9.6000000000e+00,3.1523969265e-02,6.6069344801e+00,9.4249243732e+00,4.9351524180e-03,-1.3819185117e+00,9.3230628373e+00
9.6000000000e+00,3.6194359476e-02,7.5857757503e+00,8.6761633020e+00,4.5430803053e-03,6.9522868849e+00,5.1905218150e+00
9.6000000000e+00,4.1556684910e-02,8.7096358996e+00,8.0172339359e+00,4.1980465707e-03,6.6600353922e+00,-4.4631791984e+00
