b,rho_m,k_rho,abs_v,normalized_abs_v,re_v,im_v
5.0000000000e-01,4.4528790143e-04,2.9512092267e-01,1.3416580472e+02,2.2223717479e-02,1.3181898317e+02,2.4984371769e+01
5.0000000000e-01,4.7713458277e-04,3.1622776602e-01,1.2089815742e+02,2.0026015568e-02,1.1828990446e+02,2.4977249026e+01
5.0000000000e-01,5.1125891663e-04,3.3884415614e-01,1.0862686620e+02,1.7993353745e-02,1.0571821736e+02,2.4969072430e+01
5.0000000000e-01,5.4782379915e-04,3.6307805477e-01,9.7278286274e+01,1.6113533217e-02,9.4021694519e+01,2.4959686297e+01
5.0000000000e-01,5.8700377666e-04,3.8904514499e-01,8.6810498443e+01,1.4379610330e-02,8.3148147478e+01,2.4948912021e+01
5.0000000000e-01,6.2898587893e-04,4.1686938347e-01,7.7189501718e+01,1.2785953038e-02,7.3050584617e+01,2.4936544720e+01
5.0000000000e-01,6.7397051200e-04,4.4668359215e-01,6.8389457923e+01,1.1328281409e-02,6.3686689779e+01,2.4922349407e+01
5.0000000000e-01,7.2217241477e-04,4.7863009232e-01,6.0485262785e+01,1.0019001448e-02,5.5119464424e+01,2.4906056607e+01
5.0000000000e-01,7.7382168413e-04,5.1286138399e-01,5.3189259822e+01,8.8104646757e-03,4.7007624962e+01,2.4887357350e+01
5.0000000000e-01,8.2916487336e-04,5.4954087386e-01,4.6777961821e+01,7.7484736882e-03,3.9621520110e+01,2.4865897456e+01
5.0000000000e-01,8.8846616903e-04,5.8884365536e-01,4.1166709624e+01,6.8190052309e-03,3.2826958974e+01,2.4841271018e+01
5.0000000000e-01,9.5200865217e-04,6.3095734448e-01,3.6377856232e+01,6.0257619373e-03,2.6601932471e+01,2.4813012974e+01
5.0000000000e-01,1.0200956496e-03,6.7608297539e-01,3.2428312141e+01,5.3715449240e-03,2.0916925091e+01,2.4780590652e+01
5.0000000000e-01,1.0930521817e-03,7.2443596007e-01,2.9321903930e+01,4.8569880397e-03,1.5733356131e+01,2.4743394167e+01
5.0000000000e-01,1.1712265143e-03,7.7624711663e-01,2.7066115971e+01,4.4833310234e-03,1.1065658250e+01,2.4700725521e+01
5.0000000000e-01,1.2549918209e-03,8.3176377110e-01,2.5593751323e+01,4.2394431263e-03,6.8796468937e+00,2.4651786251e+01
5.0000000000e-01,1.3447479640e-03,8.9125093813e-01,2.4797254205e+01,4.1075084135e-03,3.1554957867e+00,2.4595663489e+01
5.0000000000e-01,1.4409234041e-03,9.5499258602e-01,2.4531608361e+01,4.0635058586e-03,-1.2012916203e-01,2.4531314228e+01
5.0000000000e-01,1.5439772449e-03,1.0232929923e+00,2.4635828180e+01,4.0807692128e-03,-2.9584442338e+00,2.4457547666e+01
5.0000000000e-01,1.6544014247e-03,1.0964781961e+00,2.4959167063e+01,4.1343282550e-03,-5.3774182762e+00,2.4373005419e+01
5.0000000000e-01,1.7727230652e-03,1.1748975549e+00,2.5375791701e+01,4.2033394927e-03,-7.3891715459e+00,2.4276139485e+01
5.0000000000e-01,1.8995069872e-03,1.2589254118e+00,2.5794994787e+01,4.2727778340e-03,-9.0236054149e+00,2.4165187799e+01
5.0000000000e-01,2.0353584072e-03,1.3489628826e+00,2.6143888119e+01,4.3305698091e-03,-1.0279608926e+01,2.4038147314e+01
5.0000000000e-01,2.1809258264e-03,1.4454397707e+00,2.6381461928e+01,4.3699224088e-03,-1.1185628719e+01,2.3892744581e+01
5.0000000000e-01,2.3369041263e-03,1.5488166189e+00,2.6479176230e+01,4.3861081653e-03,-1.1756042333e+01,2.3726403909e+01
5.0000000000e-01,2.5040378858e-03,1.6595869074e+00,2.6426240585e+01,4.3773397104e-03,-1.2016357699e+01,2.3536213355e+01
5.0000000000e-01,2.6831249357e-03,1.7782794100e+00,2.6219819236e+01,4.3431473186e-03,-1.1987841271e+01,2.3318888962e+01
5.0000000000e-01,2.8750201669e-03,1.9054607180e+00,2.5865727812e+01,4.2844943125e-03,-1.1695166677e+01,2.3070737995e+01
5.0000000000e-01,3.0806396118e-03,2.0417379447e+00,2.5375290478e+01,4.2032564683e-03,-1.1163764473e+01,2.2787622290e+01
5.0000000000e-01,3.3009648166e-03,2.1877616239e+00,2.4763141596e+01,4.1018578754e-03,-1.0418272431e+01,2.2464923353e+01
5.0000000000e-01,3.5370475269e-03,2.3442288153e+00,2.4049773129e+01,3.9836928981e-03,-9.4916579666e+00,2.2097511548e+01
5.0000000000e-01,3.7900147086e-03,2.5118864315e+00,2.3252058637e+01,3.8515565350e-03,-8.4052280305e+00,2.1679722614e+01
5.0000000000e-01,4.0610739274e-03,2.6915348039e+00,2.2389594144e+01,3.7086947434e-03,-7.1852092144e+00,2.1205345894e+01
5.0000000000e-01,4.3515191132e-03,2.8840315031e+00,2.1485595378e+01,3.5589530620e-03,-5.8719564887e+00,2.0667630143e+01
5.0000000000e-01,4.6627367369e-03,3.0902954325e+00,2.0549000794e+01,3.4038120895e-03,-4.4592970977e+00,2.0059314620e+01
5.0000000000e-01,4.9962124288e-03,3.3113112148e+00,1.9603798203e+01,3.2472452550e-03,-3.0012625392e+00,1.9372695402e+01
5.0000000000e-01,5.3535380705e-03,3.5481338923e+00,1.8661056326e+01,3.0910860222e-03,-1.5115258955e+00,1.8599739586e+01
5.0000000000e-01,5.7364193939e-03,3.8018939632e+00,1.7732268256e+01,2.9372381495e-03,-1.3461665279e-02,1.7732263147e+01
5.0000000000e-01,6.1466841235e-03,4.0738027780e+00,1.6826901370e+01,2.7872698476e-03,1.4742918656e+00,1.6762191778e+01
5.0000000000e-01,6.5862907015e-03,4.3651583224e+00,1.5950426713e+01,2.6420873610e-03,2.9143191694e+00,1.5681927691e+01
5.0000000000e-01,7.0573376366e-03,4.6773514129e+00,1.5108720846e+01,2.5026641046e-03,4.2968125901e+00,1.4484848883e+01
5.0000000000e-01,7.5620735212e-03,5.0118723363e+00,1.4304352531e+01,2.3694255778e-03,5.5921135246e+00,1.3165970062e+01
5.0000000000e-01,8.1029077656e-03,5.3703179637e+00,1.3538718825e+01,2.2426031940e-03,6.7729594901e+00,1.1722795195e+01
5.0000000000e-01,8.6824220994e-03,5.7543993734e+00,1.2812252952e+01,2.1222687141e-03,7.8103513817e+00,1.0156388974e+01
5.0000000000e-01,9.3033828957e-03,6.1659500186e+00,1.2124232269e+01,2.0083024370e-03,8.6724046529e+00,8.4726858581e+00
5.0000000000e-01,9.9687543768e-03,6.6069344801e+00,1.1474527098e+01,1.9006828823e-03,9.3267579685e+00,6.6840375464e+00
5.0000000000e-01,1.0681712764e-02,7.0794578438e+00,1.0861045637e+01,1.7990635562e-03,9.7373968310e+00,4.8109682285e+00
5.0000000000e-01,1.1445661439e-02,7.5857757503e+00,1.0282564283e+01,1.7032417765e-03,9.8698200742e+00,2.8840561604e+00
5.0000000000e-01,1.2264247194e-02,8.1283051616e+00,9.7378113516e+00,1.6130068969e-03,9.6917729349e+00,9.4578395963e-01
5.0000000000e-01,1.3141377632e-02,8.7096358996e+00,9.2236738772e+00,1.5278432741e-03,9.1748368273e+00,-9.4790768871e-01
5.0000000000e-01,1.4081239830e-02,9.3325430080e+00,8.7401932797e+00,1.4477577693e-03,8.3039570703e+00,-2.7267701668e+00
2.0000000000e-01,1.5088320320e-05,1.0000000000e-02,5.8963809632e+03,9.7669823503e-01,5.8963805262e+03,2.2703049000e+00
2.0000000000e-01,1.6167426506e-05,1.0715193052e-02,5.4942288317e+03,9.1008427647e-01,5.4942283626e+03,2.2703042907e+00
2.0000000000e-01,1.7323709618e-05,1.1481536215e-02,5.1189185904e+03,8.4791650738e-01,5.1189180870e+03,2.2703035912e+00
2.0000000000e-01,1.8562689294e-05,1.2302687708e-02,4.7686586873e+03,7.8989816845e-01,4.7686581469e+03,2.2703027881e+00
2.0000000000e-01,1.9890279935e-05,1.3182567386e-02,4.4417771611e+03,7.3575230989e-01,4.4417765809e+03,2.2703018659e+00
2.0000000000e-01,2.1312818937e-05,1.4125375446e-02,4.1367136628e+03,6.8522046973e-01,4.1367130399e+03,2.2703008072e+00
2.0000000000e-01,2.2837096940e-05,1.5135612484e-02,3.8520120099e+03,6.3806144055e-01,3.8520113409e+03,2.2702995916e+00
2.0000000000e-01,2.4470390247e-05,1.6218100974e-02,3.5863132383e+03,5.9405011853e-01,3.5863125197e+03,2.2702981959e+00
2.0000000000e-01,2.6220495556e-05,1.7378008287e-02,3.3383491181e+03,5.5297642943e-01,3.3383483462e+03,2.2702965934e+00
2.0000000000e-01,2.8095767181e-05,1.8620871367e-02,3.1069361030e+03,5.1464432625e-01,3.1069352735e+03,2.2702947535e+00
2.0000000000e-01,3.0105156930e-05,1.9952623150e-02,2.8909732301e+03,4.7887144148e-01,2.8909723387e+03,2.2702926410e+00
2.0000000000e-01,3.2258256838e-05,2.1379620895e-02,2.6894243118e+03,4.4548613716e-01,2.6894233535e+03,2.2702902155e+00
2.0000000000e-01,3.4565344955e-05,2.2908676528e-02,2.5013290302e+03,4.1432934274e-01,2.5013279999e+03,2.2702874308e+00
2.0000000000e-01,3.7037434412e-05,2.4547089157e-02,2.3257896440e+03,3.8525235301e-01,2.3257885359e+03,2.2702842334e+00
2.0000000000e-01,3.9686325989e-05,2.6302679919e-02,2.1619683824e+03,3.5811639656e-01,2.1619671904e+03,2.2702805623e+00
2.0000000000e-01,4.2524664451e-05,2.8183829313e-02,2.0090834534e+03,3.3279197447e-01,2.0090821707e+03,2.2702763474e+00
2.0000000000e-01,4.5565998908e-05,3.0199517204e-02,1.8664053191e+03,3.0915824340e-01,1.8664039384e+03,2.2702715080e+00
2.0000000000e-01,4.8824847492e-05,3.2359365693e-02,1.7332532222e+03,2.8710244021e-01,1.7332517353e+03,2.2702659516e+00
2.0000000000e-01,5.2316766663e-05,3.4673685045e-02,1.6089919448e+03,2.6651934509e-01,1.6089903432e+03,2.2702595721e+00
2.0000000000e-01,5.6058425467e-05,3.7153522910e-02,1.4930287858e+03,2.4731078080e-01,1.4930270598e+03,2.2702522474e+00
2.0000000000e-01,6.0067685109e-05,3.9810717055e-02,1.3848107390e+03,2.2938514542e-01,1.3848088781e+03,2.2702438376e+00
2.0000000000e-01,6.4363684216e-05,4.2657951880e-02,1.2838218606e+03,2.1265697607e-01,1.2838198534e+03,2.2702341818e+00
2.0000000000e-01,6.8966930193e-05,4.5708818961e-02,1.1895808097e+03,1.9704654168e-01,1.1895786434e+03,2.2702230955e+00
2.0000000000e-01,7.3899397125e-05,4.8977881937e-02,1.1016385506e+03,1.8247946236e-01,1.1016362114e+03,2.2702103668e+00
2.0000000000e-01,7.9184630665e-05,5.2480746025e-02,1.0195762056e+03,1.6888635364e-01,1.0195736782e+03,2.2701957523e+00
2.0000000000e-01,8.4847860436e-05,5.6234132519e-02,9.4301886028e+02,1.5620511330e-01,9.4301612772e+02,2.2701789728e+00
2.0000000000e-01,9.0916120465e-05,6.0255958607e-02,8.7156925233e+02,1.4436993738e-01,8.7156629581e+02,2.2701597073e+00
2.0000000000e-01,9.7418378235e-05,6.4565422903e-02,8.0490343946e+02,1.3332716688e-01,8.0490023812e+02,2.2701375877e+00
2.0000000000e-01,1.0438567296e-04,6.9183097092e-02,7.4270461601e+02,1.2302432494e-01,7.4270114665e+02,2.2701121912e+00
2.0000000000e-01,1.1185126377e-04,7.4131024130e-02,6.8467753177e+02,1.1341250523e-01,6.8467376847e+02,2.2700830323e+00
2.0000000000e-01,1.1985078845e-04,7.9432823472e-02,6.3054710435e+02,1.0444614209e-01,6.3054301810e+02,2.2700495537e+00
2.0000000000e-01,1.2842243357e-04,8.5113803820e-02,5.8005712868e+02,9.6082796774e-02,5.8005268690e+02,2.2700111155e+00
2.0000000000e-01,1.3760711679e-04,9.1201083936e-02,5.3296906885e+02,8.8282957311e-02,5.3296423482e+02,2.2699669829e+00
2.0000000000e-01,1.4744868218e-04,9.7723722096e-02,4.8906092473e+02,8.1009850785e-02,4.8905565693e+02,2.2699163126e+00
2.0000000000e-01,1.5799410949e-04,1.0471285481e-01,4.4812617043e+02,7.4229267487e-02,4.4812042172e+02,2.2698581361e+00
2.0000000000e-01,1.6929373843e-04,1.1220184543e-01,4.0997275277e+02,6.7909395023e-02,4.0996646944e+02,2.2697913417e+00
2.0000000000e-01,1.8140150899e-04,1.2022644346e-01,3.7445153077e+02,6.2025529131e-02,3.7444465184e+02,2.2697146528e+00
2.0000000000e-01,1.9437521888e-04,1.2882495517e-01,3.4133355585e+02,5.6539745928e-02,3.4132601007e+02,2.2696266041e+00
2.0000000000e-01,2.0827679949e-04,1.3803842646e-01,3.1049690701e+02,5.1431849969e-02,3.1048861254e+02,2.2695255131e+00
2.0000000000e-01,2.2317261148e-04,1.4791083882e-01,2.8179940298e+02,4.6678289825e-02,2.8179026473e+02,2.2694094484e+00
2.0000000000e-01,2.3913376161e-04,1.5848931925e-01,2.5510457592e+02,4.2256460464e-02,2.5509448258e+02,2.2692761926e+00
2.0000000000e-01,2.5623644209e-04,1.6982436525e-01,2.3030743117e+02,3.8148970179e-02,2.3029625253e+02,2.2691232001e+00
2.0000000000e-01,2.7456229441e-04,1.8197008586e-01,2.0728322415e+02,3.4335155825e-02,2.0727080569e+02,2.2689475487e+00
2.0000000000e-01,2.9419879895e-04,1.9498445998e-01,1.8592852253e+02,3.0797884487e-02,1.8591468012e+02,2.2687458837e+00
2.0000000000e-01,3.1523969265e-04,2.0892961309e-01,1.6614858383e+02,2.7521462672e-02,1.6613309649e+02,2.2685143544e+00
2.0000000000e-01,3.3778541646e-04,2.2387211386e-01,1.4785662058e+02,2.4491514584e-02,1.4783922111e+02,2.2682485402e+00
2.0000000000e-01,3.6194359476e-04,2.3988329190e-01,1.3097279966e+02,2.1694816374e-02,1.3095316218e+02,2.2679433674e+00
2.0000000000e-01,3.8782954919e-04,2.5703957828e-01,1.1542311328e+02,1.9119109115e-02,1.1540083665e+02,2.2675930118e+00
2.0000000000e-01,4.1556684910e-04,2.7542287033e-01,1.0113424094e+02,1.6752247734e-02,1.0110882522e+02,2.2671907889e+00
2.0000000000e-01,4.4528790143e-04,2.9512092267e-01,8.8053667305e+01,1.4585533394e-02,8.8024486737e+01,2.2667290270e+00
2.0000000000e-01,4.7713458277e-04,3.1622776602e-01,7.6115007489e+01,1.2607969861e-02,7.6081263840e+01,2.2661989215e+00
2.0000000000e-01,5.1125891663e-04,3.3884415614e-01,6.5262173727e+01,1.0810266550e-02,6.5222836644e+01,2.2655903688e+00
2.0000000000e-01,5.4782379915e-04,3.6307805477e-01,5.5442399687e+01,9.1836830519e-03,5.5396118531e+01,2.2648917753e+00
2.0000000000e-01,5.8700377666e-04,3.8904514499e-01,4.6605811731e+01,7.7199581140e-03,4.6550785003e+01,2.2640898386e+00
2.0000000000e-01,6.2898587893e-04,4.1686938347e-01,3.8704813134e+01,6.4112076392e-03,3.8638589835e+01,2.2631692977e+00
2.0000000000e-01,6.7397051200e-04,4.4668359215e-01,3.1693111700e+01,5.2497636182e-03,3.1612278874e+01,2.2621126465e+00
2.0000000000e-01,7.2217241477e-04,4.7863009232e-01,2.5524396430e+01,4.2279549267e-03,2.5424066259e+01,2.2608998059e+00
2.0000000000e-01,7.7382168413e-04,5.1286138399e-01,2.0151072181e+01,3.3378977302e-03,2.0023993977e+01,2.2595077495e+00
2.0000000000e-01,8.2916487336e-04,5.4954087386e-01,1.5524022837e+01,2.5714562543e-03,1.5358942904e+01,2.2579100756e+00
2.0000000000e-01,8.8846616903e-04,5.8884365536e-01,1.1594755645e+01,1.9205979811e-03,1.1373147199e+01,2.2560765184e+00
2.0000000000e-01,9.5200865217e-04,6.3095734448e-01,8.3213401972e+00,1.3783774038e-03,8.0102628632e+00,2.2539723909e+00
2.0000000000e-01,1.0200956496e-03,6.7608297539e-01,5.6806817134e+00,9.4096901775e-04,5.2154224689e+00,2.2515579496e+00
2.0000000000e-01,1.0930521817e-03,7.2443596007e-01,3.6973228649e+00,6.1243816147e-04,2.9348169235e+00,2.2487876717e+00
2.0000000000e-01,1.1712265143e-03,7.7624711663e-01,2.5060957748e+00,4.1511892385e-04,1.1125440696e+00,2.2456094330e+00
2.0000000000e-01,1.2549918209e-03,8.3176377110e-01,2.2634122042e+00,3.7491992440e-04,-3.1086030942e-01,2.2419635755e+00
2.0000000000e-01,1.3447479640e-03,8.9125093813e-01,2.6361664033e+00,4.3666430127e-04,-1.3934510015e+00,2.2377818509e+00
2.0000000000e-01,1.4409234041e-03,9.5499258602e-01,3.1243318141e+00,5.1752581583e-04,-2.1852280884e+00,2.2329862261e+00
2.0000000000e-01,1.5439772449e-03,1.0232929923e+00,3.5243745407e+00,5.8379036480e-04,-2.7312113017e+00,2.2274875373e+00
2.0000000000e-01,1.6544014247e-03,1.0964781961e+00,3.7966683398e+00,6.2889411142e-04,-3.0791284850e+00,2.2211839760e+00
2.0000000000e-01,1.7727230652e-03,1.1748975549e+00,3.9501524492e+00,6.5431778396e-04,-3.2714046178e+00,2.2139593941e+00
2.0000000000e-01,1.8995069872e-03,1.2589254118e+00,4.0027479838e+00,6.6302990180e-04,-3.3402037247e+00,2.2056814139e+00
2.0000000000e-01,2.0353584072e-03,1.3489628826e+00,3.9762781514e+00,6.5864534138e-04,-3.3147392718e+00,2.1961993300e+00
2.0000000000e-01,2.1809258264e-03,1.4454397707e+00,3.8923772099e+00,6.4474768077e-04,-3.2210062978e+00,2.1853417979e+00
2.0000000000e-01,2.3369041263e-03,1.5488166189e+00,3.7679118709e+00,6.2413078412e-04,-3.0782467893e+00,2.1729143036e+00
2.0000000000e-01,2.5040378858e-03,1.6595869074e+00,3.6178013708e+00,5.9926592863e-04,-2.9031907466e+00,2.1586964231e+00
2.0000000000e-01,2.6831249357e-03,1.7782794100e+00,3.4520841669e+00,5.7181592133e-04,-2.7068137552e+00,2.1424388884e+00
2.0000000000e-01,2.8750201669e-03,1.9054607180e+00,3.2791682365e+00,5.4317349047e-04,-2.4984316914e+00,2.1238604960e+00
2.0000000000e-01,3.0806396118e-03,2.0417379447e+00,3.1041732831e+00,5.1418668260e-04,-2.2835884295e+00,2.1026449193e+00
2.0000000000e-01,3.3009648166e-03,2.1877616239e+00,2.9318630006e+00,4.8564457349e-04,-2.0678293353e+00,2.0784375128e+00
2.0000000000e-01,3.5370475269e-03,2.3442288153e+00,2.7641618384e+00,4.5786593603e-04,-1.8532772936e+00,2.0508422519e+00
2.0000000000e-01,3.7900147086e-03,2.5118864315e+00,2.6026264387e+00,4.3110861814e-04,-1.6418316952e+00,2.0194189917e+00
2.0000000000e-01,4.0610739274e-03,2.6915348039e+00,2.4481364476e+00,4.0551832766e-04,-1.4347057104e+00,1.9836813229e+00
2.0000000000e-01,4.3515191132e-03,2.8840315031e+00,2.3010177321e+00,3.8114904238e-04,-1.2325027088e+00,1.9430953852e+00
2.0000000000e-01,4.6627367369e-03,3.0902954325e+00,2.1612554542e+00,3.5799830450e-04,-1.0354284728e+00,1.8970801290e+00
2.0000000000e-01,4.9962124288e-03,3.3113112148e+00,2.0289157664e+00,3.3607707175e-04,-8.4406073093e-01,1.8450096665e+00
2.0000000000e-01,5.3535380705e-03,3.5481338923e+00,1.9036892038e+00,3.1533408323e-04,-6.5837367640e-01,1.7862185440e+00
2.0000000000e-01,5.7364193939e-03,3.8018939632e+00,1.7853305470e+00,2.9572871988e-04,-4.7850533307e-01,1.7200109907e+00
2.0000000000e-01,6.1466841235e-03,4.0738027780e+00,1.6738763914e+00,2.7726704352e-04,-3.0596480260e-01,1.6456754580e+00
2.0000000000e-01,6.5862907015e-03,4.3651583224e+00,1.5685922416e+00,2.5982738961e-04,-1.3804464509e-01,1.5625060948e+00
2.0000000000e-01,7.0573376366e-03,4.6773514129e+00,1.4699864519e+00,2.4349396384e-04,2.1240047468e-02,1.4698329936e+00
2.0000000000e-01,7.5620735212e-03,5.0118723363e+00,1.3778597465e+00,2.2823375743e-04,1.7214748261e-01,1.3670635410e+00
2.0000000000e-01,8.1029077656e-03,5.3703179637e+00,1.2921275048e+00,2.1403275353e-04,3.1262834361e-01,1.2537372163e+00
2.0000000000e-01,8.6824220994e-03,5.7543993734e+00,1.2126069380e+00,2.0086067428e-04,4.4093945639e-01,1.1295963801e+00
2.0000000000e-01,9.3033828957e-03,6.1659500186e+00,1.1386302510e+00,1.8860690370e-04,5.5416587515e-01,9.9467533966e-01
2.0000000000e-01,9.9687543768e-03,6.6069344801e+00,1.0699483274e+00,1.7723017720e-04,6.5061003334e-01,8.4940921106e-01
2.0000000000e-01,1.0681712764e-02,7.0794578438e+00,1.0050209835e+00,1.6647537310e-04,7.2620377068e-01,6.9476273707e-01
2.0000000000e-01,1.1445661439e-02,7.5857757503e+00,9.4258586930e-01,1.5613339108e-04,7.7784538777e-01,5.3237643986e-01
2.0000000000e-01,1.2264247194e-02,8.1283051616e+00,8.8463305395e-01,1.4653387355e-04,8.0594814639e-01,3.6472349180e-01
2.0000000000e-01,1.3141377632e-02,8.7096358996e+00,8.2400466090e-01,1.3649116347e-04,8.0053456849e-01,1.9526414377e-01
2.0000000000e-01,1.4081239830e-02,9.3325430080e+00,7.6892091539e-01,1.2736688922e-04,7.6838973388e-01,2.8576056253e-02
